Image_ID,Score_HoloLens,Score_PlacePulse2
0,5.5,3.3
1,5.4,3.3
2,5.8,2.4
3,7.2,6.1
4,7.5,5.0
5,4.7,4.5
6,4.1,2.6
7,4.3,2.4
8,5.3,4.5
9,3.5,1.8
10,4.4,2.5
11,6.4,3.3
12,4.4,2.8
13,5.4,3.6
14,6.1,4.4
15,6.1,5.2
16,3.7,3.3
17,6.7,4.6
18,5.6,3.2
19,6.9,3.3
20,4.3,3.5
21,4.8,4.2
22,5.1,4.5
23,7.8,5.5
24,6.2,2.2
25,4.0,3.3
26,3.7,3.6
27,5.8,4.0
28,5.9,3.6
29,5.2,3.1
30,6.2,5.2
31,7.1,7.3
32,6.2,4.3
33,5.5,4.3
34,5.0,5.0
35,6.4,4.8
36,5.0,4.7
37,6.3,6.9
38,3.2,5.2
39,7.3,5.8
40,4.7,4.7
41,4.5,5.6
42,5.4,6.0
43,5.6,4.2
44,6.2,4.9
45,6.1,4.2
46,5.4,4.6
47,6.1,2.9
48,4.1,2.7
49,5.1,3.5
50,7.6,6.5
51,4.3,5.5
52,7.5,4.0
53,4.3,3.8
54,3.0,4.3
55,4.6,4.2
56,4.5,4.3
57,2.0,4.3
58,5.0,2.9
59,6.3,4.8
60,3.7,4.5
61,7.5,5.6
62,7.4,6.5
63,4.1,1.3
64,5.6,4.2
65,4.6,4.2
66,7.7,5.7
67,5.1,4.4
68,2.9,4.4
69,3.8,4.1
70,2.7,4.3
71,4.2,2.9
72,5.7,4.4
73,5.4,5.0
74,3.4,1.9
75,3.5,3.8
76,5.0,3.6
77,2.0,5.2
78,3.1,4.6
79,3.9,3.7
80,5.0,4.3
81,7.0,5.6
82,5.2,4.4
83,6.1,4.9
84,3.8,4.4
85,5.1,5.5
86,4.2,4.1
87,5.1,6.0
88,4.3,3.5
89,5.9,3.2
90,6.9,4.2
91,7.0,4.2
92,5.8,4.5
93,4.2,4.7
94,6.0,3.0
95,5.7,4.3
96,3.7,2.0
97,3.2,2.9
98,6.0,5.0
99,5.1,3.8
100,2.9,1.7
101,4.4,4.3
102,5.1,4.9
103,4.5,4.3
104,5.8,3.7
105,5.3,4.5
106,6.0,4.7
107,5.7,3.6
108,3.4,3.9
109,2.8,4.6
110,4.9,4.0
111,2.6,3.2
112,4.5,2.1
113,6.2,2.9
114,3.4,4.3
115,6.7,3.2
116,4.8,5.4
117,3.2,4.38
118,4.2,3.3
119,8.4,6.2
120,6.6,7.2
121,5.3,2.0
122,4.7,4.2
123,6.1,3.7
124,5.7,4.5
125,4.5,4.1
126,4.3,4.0
127,5.9,6.8
128,2.6,4.7
129,8.1,5.0
130,4.1,1.9
131,5.0,2.3
132,4.7,4.2
133,3.9,3.5
134,7.3,5.8
135,6.0,5.2
136,4.2,4.6
137,4.4,4.3
138,4.6,1.7
139,3.4,4.0
140,6.2,5.2
141,3.1,4.4
142,3.9,2.5
143,4.9,3.6
144,4.7,1.7
145,5.7,4.1
146,4.2,2.7
147,4.4,4.9
148,7.3,3.3
149,4.2,3.3
