Image_ID,IoU,SIM,NSS,Score_HoloLens,Score_PlacePulse2
0,0.1499,0.4029,-0.0072,5.5,3.3
1,0.1689,0.4495,0.564,5.4,3.3
2,0.1654,0.3499,-0.0751,5.8,2.4
3,0.3126,0.59,1.0528,7.2,6.1
4,0.1804,0.4585,0.2214,7.5,5.0
5,0.0833,0.4491,0.2231,4.7,4.5
6,0.232,0.5519,0.6682,4.1,2.6
7,0.1486,0.4197,0.3948,4.3,2.4
8,0.2133,0.4015,0.1364,5.3,4.5
9,0.0863,0.417,0.0478,3.5,1.8
10,0.0711,0.3118,-0.216,4.4,2.5
11,0.0544,0.2542,-0.3474,6.4,3.3
12,0.1204,0.4834,0.7728,4.4,2.8
13,0.0728,0.2568,-0.1766,5.4,3.6
14,0.2085,0.4557,-0.0658,6.1,4.4
15,0.0324,0.2504,-0.5229,6.1,5.2
16,0.2366,0.5232,0.679,3.7,3.3
17,0.3108,0.5105,0.4943,6.7,4.6
18,0.197,0.419,0.2633,5.6,3.2
19,0.0875,0.2975,-0.2713,6.9,3.3
20,0.1009,0.3009,-0.3717,4.3,3.5
21,0.1722,0.4557,0.613,4.8,4.2
22,0.311,0.4702,0.596,5.1,4.5
23,0.1578,0.3875,0.3261,7.8,5.5
24,0.1428,0.4846,0.3164,6.2,2.2
25,0.1162,0.3432,0.2131,4.0,3.3
26,0.2114,0.3556,0.0767,3.7,3.6
27,0.1439,0.3548,-0.0427,5.8,4.0
28,0.2266,0.4493,0.4011,5.9,3.6
29,0.0174,0.175,-0.4218,5.2,3.1
30,0.3106,0.5467,0.858,6.2,5.2
31,0.2788,0.4814,0.7264,7.1,7.3
32,0.2104,0.3827,-0.0362,6.2,4.3
33,0.2105,0.4882,0.5487,5.5,4.3
34,0.0944,0.3565,-0.2909,5.0,5.0
35,0.2259,0.411,0.1701,6.4,4.8
36,0.0165,0.2131,-0.3988,5.0,4.7
37,0.2674,0.453,0.1985,6.3,6.9
38,0.1579,0.4321,0.1765,3.2,5.2
39,0.4418,0.6072,0.8712,7.3,5.8
40,0.1008,0.2738,-0.1656,4.7,4.7
41,0.094,0.3645,0.3703,4.5,5.6
42,0.1414,0.3371,0.1707,5.4,6.0
43,0.3562,0.5514,0.5069,5.6,4.2
44,0.1012,0.3273,-0.0367,6.2,4.9
45,0.1155,0.3224,-0.0591,6.1,4.2
46,0.251,0.4853,0.6061,5.4,4.6
47,0.1834,0.4217,0.0513,6.1,2.9
48,0.1507,0.4543,0.1061,4.1,2.7
49,0.0302,0.2501,-0.317,5.1,3.5
50,0.406,0.5858,1.0601,7.6,6.5
51,0.0233,0.2451,-0.4834,4.3,5.5
52,0.336,0.5669,0.9926,7.5,4.0
53,0.162,0.368,0.2586,4.3,3.8
54,0.0784,0.3499,0.1616,3.0,4.3
55,0.0591,0.173,-0.6136,4.6,4.2
56,0.2646,0.5873,1.037,4.5,4.3
57,0.4225,0.6352,1.5043,2.0,4.3
58,0.2556,0.4342,0.003,5.0,2.9
59,0.1438,0.3116,0.293,6.3,4.8
