Image_ID,IoU,SIM,NSS,Score_HoloLens,Score_PlacePulse2,Otsu_GradCAM
0,0.1496,0.4029,0.1004,5.5,3.3,0.3638538990008224
1,0.1691,0.4495,0.6149,5.4,3.3,0.2749037242055504
2,0.1651,0.3499,-0.1639,5.8,2.4,0.34451194478866976
3,0.313,0.59,1.2348,7.2,6.1,0.3522464652714179
4,0.1804,0.4585,0.0623,7.5,5.0,0.3097075712347198
5,0.0834,0.4491,0.062,4.7,4.5,0.38318720109594084
6,0.2321,0.5519,0.7079,4.1,2.6,0.36032123783006276
7,0.1483,0.4197,0.3062,4.3,2.4,0.4141214145122143
8,0.2133,0.4015,0.1611,5.3,4.5,0.32517696634848703
9,0.0862,0.417,-0.1085,3.5,1.8,0.35998112210315014
10,0.0711,0.3118,-0.3756,4.4,2.5,0.3213108228180911
11,0.0543,0.2542,-0.3827,6.4,3.3,0.3638483623011402
12,0.1204,0.4834,1.1466,4.4,2.8,0.39091810398689997
13,0.0723,0.2568,-0.2831,5.4,3.6,0.402519688826688
14,0.2079,0.4558,-0.0825,6.1,4.4,0.34451894198614996
15,0.0324,0.2504,-0.5796,6.1,5.2,0.33291265024374184
16,0.2368,0.5232,0.59,3.7,3.3,0.40252122557324665
17,0.3109,0.5105,0.4767,6.7,4.6,0.39478532839791736
18,0.1967,0.4189,0.2578,5.6,3.2,0.3329110650473138
19,0.0875,0.2975,-0.2385,6.9,3.3,0.3909195169339357
20,0.1007,0.3009,-0.4604,4.3,3.5,0.32132036484148707
21,0.1722,0.4557,0.7179,4.8,4.2,0.37547387300196344
22,0.311,0.4702,0.6799,5.1,4.5,0.2826385743985961
23,0.1574,0.3874,0.2667,7.8,5.5,0.4025195328289787
24,0.1428,0.4846,0.5164,6.2,2.2,0.3406454616849421
25,0.1162,0.3432,0.2674,4.0,3.3,0.3213086289923567
26,0.2113,0.3556,-0.0586,3.7,3.6,0.3058415810122711
27,0.1441,0.3548,0.1047,5.8,4.0,0.35998416601523175
28,0.2265,0.4493,0.2383,5.9,3.6,0.3715879044763598
29,0.0176,0.175,-0.4789,5.2,3.1,0.31357762335160166
30,0.3106,0.5467,0.8645,6.2,5.2,0.367715099731059
31,0.2787,0.4813,0.674,7.1,7.3,0.32517897915695343
32,0.2102,0.3827,-0.0531,6.2,4.3,0.356119347154241
33,0.2106,0.4882,0.7027,5.5,4.3,0.3483829743279804
34,0.0944,0.3565,-0.2889,5.0,5.0,0.3638502441150359
35,0.2259,0.411,0.1381,6.4,4.8,0.32517979592692614
36,0.0164,0.2131,-0.3387,5.0,4.7,0.31357480583002695
37,0.267,0.453,0.0813,6.3,6.9,0.3329108950662065
38,0.1579,0.4321,0.3613,3.2,5.2,0.2903738577928122
39,0.4421,0.6072,1.1053,7.3,5.8,0.3638487158207402
40,0.1008,0.2738,-0.1587,4.7,4.7,0.2671724840440059
41,0.0944,0.3645,0.5651,4.5,5.6,0.35224798173321825
42,0.1416,0.3371,0.1498,5.4,6.0,0.4179891083547089
43,0.3561,0.5514,0.578,5.6,4.2,0.3019815542074077
44,0.1013,0.3273,-0.0972,6.2,4.9,0.38705206565049144
45,0.1153,0.3224,-0.1043,6.1,4.2,0.3406462561213295
46,0.2511,0.4853,0.8034,5.4,4.6,0.32131229505848113
47,0.1833,0.4217,0.0369,6.1,2.9,0.33291616914545263
48,0.151,0.4543,0.0296,4.1,2.7,0.38705149006803113
49,0.03,0.2501,-0.3998,5.1,3.5,0.30197530434081654
50,0.4062,0.5859,1.1118,7.6,6.5,0.313574723172788
51,0.0234,0.2451,-0.5667,4.3,5.5,0.41412548057273235
52,0.3363,0.5669,1.0947,7.5,4.0,0.33678256954293995
53,0.1621,0.368,0.3519,4.3,3.8,0.34064519682641753
54,0.0782,0.3499,-0.0425,3.0,4.3,0.34451365096679987
55,0.0589,0.173,-0.5336,4.6,4.2,0.27103592503381335
56,0.2647,0.5873,1.1475,4.5,4.3,0.28264237673752995
57,0.4223,0.6352,1.8074,2.0,4.3,0.3290435624539063
58,0.2554,0.4342,0.001,5.0,2.9,0.42959019546417426
59,0.1437,0.3116,0.368,6.3,4.8,0.398654206481028
60,0.2219,0.3846,0.2533,3.7,4.5,0.37933277501784357
61,0.36,0.635,1.1576,7.5,5.6,0.29037218676573223
62,0.3123,0.5642,1.1916,7.4,6.5,0.3329104851915501
63,0.2887,0.5852,1.1539,4.1,1.3,0.36385387444753287
64,0.1916,0.3935,-0.006,5.6,4.2,0.3251812069641116
65,0.1588,0.3359,0.4576,4.6,4.2,0.35998127338303226
66,0.1604,0.373,0.3012,7.7,5.7,0.2942386637599705
67,0.1355,0.4109,-0.1439,5.1,4.4,0.33677863782211
68,0.1184,0.3283,-0.3133,2.9,4.4,0.37932361968838435
69,0.1665,0.4701,0.9907,3.8,4.1,0.4257597194278818
70,0.2008,0.3735,0.2103,2.7,4.3,0.3367790003165136
71,0.0098,0.3019,-1.2904,4.2,2.9,0.313585857478006
72,0.1529,0.2695,0.0445,5.7,4.4,0.38318424161011516
73,0.1895,0.4703,0.257,5.4,5.0,0.32904354904688543
74,0.259,0.4601,0.2719,3.4,1.9,0.35227146501220535
75,0.1985,0.4082,-0.109,3.5,3.8,0.42186495229585297
76,0.1882,0.4903,0.5418,5.0,3.6,0.33677839525334474
77,0.1852,0.5113,0.1896,2.0,5.2,0.359985691345878
78,0.1681,0.2965,-0.0247,3.1,4.6,0.2633010452612208
79,0.2232,0.4646,0.3921,3.9,3.7,0.3986539653145378
80,0.1711,0.4861,0.6838,5.0,4.3,0.2710398115672253
81,0.3561,0.5204,0.9354,7.0,5.6,0.3793172304390595
82,0.2721,0.4709,0.4327,5.2,4.4,0.3870543912266972
83,0.0338,0.3435,-0.4064,6.1,4.9,0.3058408429188445
84,0.0433,0.2536,-0.3153,3.8,4.4,0.2865040769216126
85,0.1089,0.3459,0.0476,5.1,5.5,0.3677149076271007
86,0.1219,0.3228,-0.1492,4.2,4.1,0.4295926355202444
87,0.3014,0.5651,0.8401,5.1,6.0,0.3058420597596471
88,0.0491,0.3184,-0.1774,4.3,3.5,0.3793204192683002
89,0.2237,0.3923,0.0911,5.9,3.2,0.387050865870231
90,0.0916,0.3302,-0.2623,6.9,4.2,0.2555697952484867
91,0.0165,0.2399,-0.6276,7.0,4.2,0.3329111424192761
92,0.0707,0.2378,-0.62,5.8,4.5,0.3831836159830527
93,0.4094,0.591,0.6072,4.2,4.7,0.2749054947197492
94,0.1672,0.4377,0.3092,6.0,3.0,0.3715823413912652
95,0.1849,0.4163,-0.0192,5.7,4.3,0.38318375306827507
96,0.1909,0.375,0.4979,3.7,2.0,0.41025479806087606
97,0.2433,0.4875,0.7657,3.2,2.9,0.35998129371327514
98,0.0171,0.1821,-0.5246,6.0,5.0,0.31357462597187885
99,0.2636,0.4506,-0.1025,5.1,3.8,0.37159549519627316
100,0.1635,0.4645,0.4352,2.9,1.7,0.35611900497371163
101,0.0994,0.4899,0.8225,4.4,4.3,0.4411932709767728
102,0.2638,0.5146,0.6788,5.1,4.9,0.35611594306547867
103,0.3535,0.5536,0.8547,4.5,4.3,0.3445170944151645
104,0.2008,0.3924,0.0314,5.8,3.7,0.3058398935232412
105,0.1499,0.3605,-0.0039,5.3,4.5,0.35611456805739616
